"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.904912208E0,-2.300541098E0,-2.480911328E0,-5.015629320E0,6.050119655E0
2.914879208E0,-1.982419822E0,-2.163349631E0,-3.965522599E0,4.933096336E0
2.924845208E0,-1.540742494E0,-1.922088251E0,-3.015485711E0,3.893772560E0
2.934812208E0,-8.904838738E-1,-1.416105876E0,-2.035465470E0,2.634660711E0
2.944779208E0,-1.928569597E-1,-5.949389899E-1,-5.298840380E-1,8.197092791E-1
2.954746208E0,2.371885023E-1,8.230704474E-1,1.515716411E0,1.741005338E0
2.964712208E0,9.126141232E-1,2.009273452E0,4.587795568E0,5.090963810E0
2.974679208E0,1.755089725E0,2.155317896E0,7.634698368E0,8.124921805E0
2.984646208E0,2.470285476E0,2.468785080E0,1.029633748E1,1.087252389E1
2.994612208E0,2.956271835E0,3.427830189E0,1.278140180E1,1.355926970E1
3.004579208E0,3.657777207E0,4.210915914E0,1.482136787E1,1.583616407E1
3.014546208E0,4.532439100E0,4.127727577E0,1.607782225E1,1.720690290E1
3.024513208E0,5.077218043E0,3.793565049E0,1.728838300E1,1.841351312E1
3.034479208E0,4.779600028E0,4.390641781E0,1.809833697E1,1.922685915E1
3.044446208E0,4.443885065E0,4.910772956E0,1.815894453E1,1.932902150E1
3.054413208E0,4.325050347E0,4.557227786E0,1.730457394E1,1.840985238E1
3.064380208E0,3.943216348E0,4.625240259E0,1.614416826E1,1.725039048E1
3.074346208E0,3.487377064E0,4.358860703E0,1.504193186E1,1.604435039E1
3.084313208E0,3.004173687E0,4.056006214E0,1.358620203E1,1.449348584E1
3.094280208E0,2.365548103E0,3.660578023E0,1.159118585E1,1.238350672E1
3.104247208E0,1.588670366E0,3.078376023E0,9.195440678E0,9.826311706E0
3.114213208E0,8.783367218E-1,2.447377839E0,6.453125188E0,6.957295335E0
3.124180208E0,2.948563743E-1,1.713518068E0,3.357994553E0,3.781429872E0
3.134147208E0,-1.764686760E-1,8.356530708E-1,3.339262998E-1,9.170409053E-1
3.144114208E0,-3.216478778E-1,1.274687165E-1,-2.351651317E0,2.376966460E0
3.154080208E0,-4.629831201E-1,-7.899600041E-1,-4.566753193E0,4.657641560E0
3.164047208E0,-8.293560581E-1,-2.042237423E0,-6.032694011E0,6.422769044E0
