"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.242298648E0,-2.702644348E0,1.780583858E0,-1.235394478E0,3.464240879E0
1.247246877E0,-2.741767883E0,1.956815243E0,-1.496948957E0,3.686091860E0
1.252195002E0,-2.450247765E0,2.202239990E0,-1.943544984E0,3.825041462E0
1.257143283E0,-1.809525490E0,2.317820787E0,-2.541841745E0,3.886854147E0
1.262091512E0,-8.608388901E-1,2.432185650E0,-2.791276217E0,3.801025328E0
1.267039741E0,3.331327438E-1,2.346105814E0,-3.480957985E0,4.210968821E0
1.271987971E0,1.279163361E0,2.124545097E0,-4.333237171E0,4.992684163E0
1.276936200E0,1.651521683E0,1.782795191E0,-4.851853371E0,5.426450377E0
1.281884429E0,1.748614788E0,1.505138397E0,-4.851810455E0,5.372444506E0
1.286832658E0,1.677549839E0,1.419770479E0,-4.459618092E0,4.971731610E0
1.291780887E0,1.649775028E0,1.436161280E0,-3.861521482E0,4.437979836E0
1.296729116E0,1.692222595E0,1.542153835E0,-3.089786530E0,3.845599636E0
1.301677346E0,1.835779667E0,1.682062149E0,-2.100960016E0,3.257829500E0
1.306625575E0,2.087078571E0,1.790529728E0,-1.144953251E0,2.978726509E0
1.311573804E0,2.340764999E0,1.751069069E0,-4.355813861E-1,2.955529531E0
1.316522033E0,2.375514984E0,1.574776649E0,8.429926634E-2,2.851332899E0
1.321470262E0,2.031021595E0,1.338777065E0,7.315980196E-1,2.540198499E0
1.326418491E0,1.366577148E0,1.224059820E0,1.727432132E0,2.519896291E0
1.331366721E0,1.131240845E0,1.530578375E0,2.768073559E0,3.359256947E0
1.336314950E0,1.432663918E0,1.991463423E0,3.379261017E0,4.175866076E0
1.341263075E0,1.779752731E0,1.987463832E0,2.913175583E0,3.950205595E0
1.346211356E0,1.857326984E0,1.712470055E0,2.077039957E0,3.270521701E0
1.351159585E0,1.957550049E0,1.421252251E0,9.281358719E-1,2.591022260E0
1.356107814E0,1.991728306E0,1.092772961E0,-3.752352893E-1,2.302593301E0
1.361056044E0,2.100826263E0,9.420142174E-1,-1.408545256E0,2.699048260E0
1.366004273E0,2.269607544E0,1.068036318E0,-2.154823065E0,3.306823615E0
1.370952502E0,2.369033813E0,1.238989353E0,-2.700964928E0,3.800345690E0
1.375900731E0,2.573075294E0,1.408359289E0,-3.105255604E0,4.271627877E0
1.380848960E0,2.752775192E0,1.463910580E0,-3.595608711E0,4.759118348E0
1.385797189E0,2.829262257E0,1.383017778E0,-3.947986841E0,5.050154769E0
1.390745419E0,2.865068436E0,1.230470657E0,-4.007755280E0,5.077871361E0
1.395693648E0,2.826758862E0,1.087928057E0,-3.488309383E0,4.619789548E0
1.400641877E0,2.432920456E0,8.099148273E-1,-2.482740402E0,3.569182522E0
1.405590106E0,1.989832401E0,5.355651379E-1,-1.406689286E0,2.495002555E0
1.410538335E0,1.912374020E0,3.845958710E-1,-4.767042994E-1,2.008067570E0
1.415486460E0,2.103441238E0,3.045334816E-1,9.013162553E-2,2.127282162E0
1.420434794E0,2.525870800E0,2.145481110E-1,2.482971698E-1,2.547097500E0
1.425383023E0,3.021168232E0,1.459031105E-1,-2.156376839E-2,3.024766140E0
1.430331148E0,3.336449146E0,-6.200027466E-2,-1.061580062E0,3.501812269E0
1.435279429E0,3.145651340E0,-4.594411850E-1,-2.268298626E0,3.905302449E0
1.440227658E0,2.416869640E0,-1.300531387E0,-2.780880451E0,3.907164807E0
1.445175887E0,5.578718185E-1,-2.992171764E0,-2.107352495E0,3.702059882E0
1.450124116E0,5.597252846E-1,-3.549507141E0,1.903701872E-1,3.598407168E0
1.455072346E0,7.543439865E-1,-3.701449871E0,1.428804398E0,4.038718609E0
1.460020575E0,2.650929928E0,-1.874574661E0,1.670328021E0,3.651226553E0
1.464968804E0,5.257980347E0,7.067518234E-1,8.807980418E-1,5.377886263E0
1.469917033E0,6.948686600E0,2.468436241E0,-8.993394375E-1,7.428743794E0
1.474865262E0,6.925464630E0,2.358887911E0,-3.298685551E0,8.025443220E0
1.479813491E0,4.210025787E0,5.915212631E-2,-4.229354858E0,5.967852095E0
1.484761721E0,9.803075790E-1,-3.043789864E0,-2.452510357E0,4.029946245E0
1.489709950E0,-9.525661469E-1,-4.625858307E0,6.073837876E-1,4.761812933E0
1.494658179E0,-1.189027786E0,-3.820924282E0,3.522137403E0,5.330919371E0
1.499606408E0,-8.040432930E-1,-2.160560131E0,6.048106670E0,6.472565179E0
1.504554637E0,-5.637555122E-1,-4.748344421E-1,5.103061199E0,5.156018001E0
1.509502762E0,-1.796378136E0,-2.455201149E-1,3.382820845E0,3.838063496E0
1.514451044E0,-3.336022854E0,-6.210603714E-1,4.509582520E-1,3.423175107E0
1.519399273E0,-4.602765560E0,-5.833172798E-1,-1.273669958E0,4.811231133E0
1.524347502E0,-5.488739491E0,5.886125565E-2,-2.193525791E0,5.911115059E0
1.529295731E0,-5.177290916E0,1.041890144E0,-3.137008667E0,6.142532025E0
1.534243960E0,-4.686039925E0,1.774883270E0,-3.282960176E0,5.990576627E0
1.539192189E0,-3.923627377E0,2.233542442E0,-2.818706274E0,5.322468289E0
1.544140419E0,-2.970202923E0,2.323820591E0,-2.279681206E0,4.406721450E0
