"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.657375180E-1,5.390844345E-1,6.248488426E-1,-2.542071819E0,2.672672303E0
9.706853820E-1,9.009070396E-1,6.212081909E-1,-2.341865540E0,2.584930815E0
9.756334030E-1,1.143033981E0,6.044297218E-1,-2.108626366E0,2.473492899E0
9.805812680E-1,1.175173759E0,4.656844139E-1,-1.864274263E0,2.252423998E0
9.855292890E-1,9.294862747E-1,2.578582764E-1,-1.584445000E0,1.854966734E0
9.904772570E-1,6.888403893E-1,7.854509354E-2,-1.273968220E0,1.450401820E0
9.954251220E-1,6.371436119E-1,4.600381851E-2,-8.868057132E-1,1.092928500E0
1.000373143E0,5.406389236E-1,1.566410065E-2,-5.625984669E-1,7.804183780E-1
1.005321111E0,2.451772690E-1,-1.060070992E-1,-3.449276686E-1,4.362619567E-1
1.010268976E0,-3.857336044E-1,-2.600188255E-1,-1.102125049E-1,4.780658945E-1
1.015216997E0,-8.263130188E-1,-3.656706810E-1,1.297902465E-1,9.128821173E-1
1.020164861E0,-1.582551956E0,-4.067511559E-1,7.194596529E-1,1.785368138E0
1.025112882E0,-1.878508568E0,-3.716011047E-1,7.360452414E-1,2.051498091E0
1.030060851E0,-1.709790230E0,-3.581414223E-1,6.419068575E-1,1.861099761E0
1.035008716E0,-1.537010193E0,-1.358971596E-1,9.229417443E-1,1.797968252E0
1.039956736E0,-3.620605469E-1,2.083344460E-1,5.716364980E-1,7.079967280E-1
1.044904601E0,7.544116974E-1,5.100302696E-1,2.875459790E-1,9.549610333E-1
1.049852622E0,1.590894222E0,6.959638596E-1,3.390872478E-2,1.736795878E0
1.054800591E0,1.975063801E0,6.998028755E-1,-3.557677269E-1,2.125363912E0
1.059748455E0,1.871795654E0,6.720600128E-1,-4.786084890E-1,2.045568312E0
1.064696476E0,1.934559822E0,6.505093575E-1,-7.007135153E-1,2.157935022E0
1.069644341E0,1.667681694E0,3.957715034E-1,-7.121349573E-1,1.856053209E0
1.074592361E0,1.471083641E0,1.965532303E-1,-5.515835285E-1,1.583339711E0
1.079540330E0,1.071270466E0,-4.451084137E-2,-4.060101509E-1,1.146492856E0
1.084488195E0,4.406056404E-1,-9.647703171E-2,-1.639990807E-1,4.799342106E-1
1.089436216E0,-1.722908020E-2,-1.721339226E-1,1.262537241E-1,2.141656633E-1
1.094384184E0,-2.252950668E-1,-1.316771507E-1,3.570443392E-1,4.422413360E-1
1.099332049E0,-1.623582840E-1,7.678604126E-2,6.142135859E-1,6.399333071E-1
1.104280070E0,9.303760529E-2,4.923415184E-1,9.262764454E-1,1.053111684E0
1.109227934E0,3.460211754E-1,9.178881645E-1,1.130675197E0,1.496888685E0
1.114175955E0,5.846805573E-1,1.260498524E0,1.120606184E0,1.785067534E0
1.119123924E0,7.042322159E-1,1.587352276E0,8.800664544E-1,1.946830045E0
1.124071789E0,8.624954224E-1,1.879476070E0,5.699309111E-1,2.145029113E0
1.129019809E0,1.147327423E0,2.070489407E0,2.862733006E-1,2.384373922E0
1.133967674E0,1.420012474E0,2.048595190E0,-3.257298470E-2,2.492837475E0
1.138915695E0,1.621225357E0,1.900325775E0,-3.250308037E-1,2.518978907E0
1.143863664E0,1.699131489E0,1.716187954E0,-4.809339046E-1,2.462447224E0
1.148811528E0,1.794854641E0,1.522482157E0,-5.908031464E-1,2.426623881E0
1.153759549E0,1.918311596E0,1.363481998E0,-6.988161802E-1,2.455065497E0
1.158707414E0,1.813196659E0,1.284636021E0,-7.834377289E-1,2.356214444E0
1.163655434E0,1.430377007E0,1.619624376E0,-9.338943958E-1,2.354000901E0
1.168603403E0,1.664578438E0,1.459117651E0,-8.997151852E-1,2.389421082E0
1.173551268E0,1.617287636E0,1.105507135E0,-7.870074511E-1,2.111195408E0
1.178499289E0,1.206829071E0,7.236003876E-1,-5.860550404E-1,1.524301295E0
1.183447153E0,6.282486916E-1,3.035011292E-1,-2.004315853E-1,7.259353788E-1
1.188395174E0,-1.509408951E-1,-9.283590317E-2,5.113497376E-1,5.411840841E-1
1.193343143E0,-1.049360275E0,-4.821610451E-1,1.269602537E0,1.716253729E0
1.198291007E0,-1.581111908E0,-9.358649254E-1,1.593555450E0,2.432113689E0
1.203239028E0,-1.434156418E0,-9.806909561E-1,1.262771487E0,2.147824763E0
1.208186997E0,-3.277540207E-1,-4.691762924E-1,2.470232248E-1,6.233534832E-1
1.213134861E0,5.066709518E-1,2.273702621E-1,-3.377971649E-1,6.500150877E-1
1.218082882E0,1.014966011E0,6.868705750E-1,-2.261627913E-1,1.246233043E0
1.223030747E0,1.046233177E0,6.590962410E-1,3.187012672E-2,1.236942772E0
1.227978768E0,7.693462372E-1,5.078840256E-1,3.403235674E-1,9.826799818E-1
1.232926736E0,2.718563080E-1,3.138480186E-1,4.137048125E-1,5.861382967E-1
1.237874601E0,3.636264801E-2,2.701849937E-1,2.864040732E-1,3.954105034E-1
1.242822622E0,1.357769966E-1,4.029421806E-1,1.571897864E-1,4.533281623E-1
1.247770486E0,5.111317635E-1,5.858569145E-1,-1.868824959E-1,7.996305842E-1
1.252718507E0,1.242039680E0,6.933383942E-1,-6.346250772E-1,1.557603828E0
1.257666476E0,1.990968227E0,8.043594360E-1,-1.229163527E0,2.474225447E0
1.262614341E0,2.502883911E0,8.709211349E-1,-1.659937739E0,3.127031307E0
1.267562361E0,2.742529869E0,8.222341537E-1,-1.700489283E0,3.330045478E0
1.272510226E0,2.883905888E0,7.149329185E-1,-1.340189815E0,3.259470967E0
1.277458247E0,3.009782791E0,7.054538727E-1,-8.712349534E-1,3.211776449E0
1.282406216E0,3.140553474E0,8.441681862E-1,-2.025107741E-1,3.258328815E0
1.287354080E0,3.688535213E0,1.016665936E0,8.520644903E-1,3.919810651E0
1.292302101E0,3.606999397E0,5.382323265E-1,1.372548461E0,3.896668830E0
1.297249966E0,2.405412674E0,-8.116917610E-1,1.520676970E0,2.959275603E0
1.302197986E0,1.711739063E0,-1.791490555E0,1.980243921E0,3.171885089E0
